name,location,lat,long
Barnsdall Art Park,"CA, USA",34.100376,-118.294640
Luna Park in Coney Island,"NY, USA",40.575245,-73.978577
Liberty State Park,"NJ, USA",40.703693,-74.052315
Honeymoon Island State Park,"FL, USA",28.063587,-82.831558
Kings Island,"OH, USA",39.345097,-84.272026
LEGOLAND Florida Resort,"FL, USA",27.988932,-81.691345
Stone Mountain Park,"GA, USA",33.805359,-84.145882
Williamsbridge Oval,"NY, USA",40.877319,-73.878029
Memorial Skatepark,"Colorado Springs, CO, USA",38.832462,-104.796875
Lummus Park,"Miami Beach, FL, USA",25.781084,-80.130119
Venice Beach Skatepark,"CA, USA",33.987164,-118.475601
Brooklyn Bridge Park,"New York, USA",40.699215,-73.999039
The High Line,"NY, USA",40.747993,-74.004890
The National Mall,"Washington, USA",38.887161,-77.037331
Universal Orlando Resort,"FL, USA",28.474386,-81.468193
Disney Springs,"FL, USA",28.370970,-81.519249
Magic Kingdom Park,"FL, USA",28.417665,-81.581238
The Battery,"New York, USA",40.703564,-74.016678
Bryant Park,"New York, USA",40.753742,-73.983559
Kona Skate Park,"Florida, USA",30.323277,-81.564995
Whirlpool State Park,"Niagara Falls, NY, the US",43.117001,-79.060997
Bayfront Park,"Miami, FL, USA",25.775000,-80.185997
David Crockett State Park,"Lawrenceburg, TN, the USA",35.263000,-87.362000
Paul Johns Neighborhood Park,"Smyrna, TN, USA",35.960777,-86.580948
Minnehaha Park,"Minneapolis, MN, USA",44.915001,-93.209999
Golden Gate Park,"San Francisco, CA, USA",37.769722,-122.476944
City Park,"LA, USA",30.001667,-90.092781
Forest Park,"St Louis, MO, USA",38.638901,-90.284599
Universal’s Islands of Adventure,"Orlando, FL, USA",28.471090,-81.471565
Epcot,"Orlando, FL, USA",28.374382,-81.549416
Anza-Borrego Desert State Park,"Borrego Springs, CA, USA",33.101543,-116.301476
Temeku Hills Park,"Temecula, CA, USA",33.525002,-117.112495
Glacial Lakes State Park,"Starbuck, MN, USA",45.541313,-95.531502
Bird Island Reserve,"Sunset Beach, NC, USA",33.868526,-78.531075
Hopkinton State Park,"Hopkinton, MA, USA",42.261456,-71.519447
Pleasanton Ridge,"Sunol, CA, USA",37.639378,-121.916069
Rogers-Lakewood Park,"Valparaiso, IN, USA",41.516911,-87.065491
Donald Lamoreaux Park,"Grand Rapids, MI, USA",43.044846,-85.646042
McKinney Falls State Park,"Austin, TX, USA",30.180359,-97.721741
Redbud Valley,"Tulsa, OK, USA",36.219463,-95.797997
Lafayette Park,"Washington DC, USA",38.899536,-77.036552
Walt Disney World,"Orlando, FL, USA",28.385233,-81.563873
University Park,"TX, USA",32.855038,-96.797592
Graham Hills Park,"Mount Pleasant, Pleasantville, NY, USA",41.117912,-73.796997
Talbert Regional Park,"Costa Mesa, CA, USA",33.646481,-117.949120
Bithlo Community Park,"Orlando, FL, USA",28.559692,-81.102020
Mill Creek Park,"Youngstown, OH, USA",41.098927,-80.676628
Edisto Beach State Park,"Edisto Island, SC, USA",32.510651,-80.286995
Jacobson Park,"Lexington, KY, USA",37.987938,-84.419792
Spring City Park,"Spring City, TN, USA",35.688900,-84.853401
Jungle Hut Road Park,"Palm Coast, FL, USA",29.584776,-81.177689
Anastasia State Park,"Augustine, FL, USA",29.875853,-81.280891
Juno Beach Park,"Juno Beach, FL, USA",26.893070,-80.058220
Seward Park,"Seattle, WA, USA",47.550259,-122.264847
Northacres Park,"Seattle, WA, USA",47.721790,-122.327209
Myrtle Edwards Park,"Seattle, WA, USA",47.620598,-122.361816
McCurdy Park,"Seattle, WA, USA",47.644897,-122.301765
Me-Kwa-Mooks Park,"Seattle, WA, USA",47.563450,-122.404251
Lakeview Park,"Seattle, WA, USA",47.622120,-122.284554
Kiwanis Ravine Corridor Trail,"Seattle, WA, USA",47.664944,-122.401909
Kinnear Park,"Seattle, WA, USA",47.627316,-122.366882
Interlaken Park,"Seattle, WA, USA",47.635471,-122.308403
Golden Gardens Park Seattle,"Seattle, WA, USA",47.689709,-122.402328
Genesee Park and Playfield,"Seattle, WA, USA",47.564445,-122.278511
Green Lake Park,"Seattle, WA, USA",47.681568,-122.341133
Gas Works Park,"Seattle, WA, USA",47.645630,-122.334351
Frink Park,"Seattle, WA, USA",47.599220,-122.290833
Fremont Peak Park,"Seattle, WA, USA",47.661133,-122.356567
Hamilton Viewpoint Park,"Seattle, WA, USA",47.593296,-122.386024
Chief Sealth Trail,"Seattle, WA, USA",47.538376,-122.289772
Leonard Park,"Speedway, IN, USA",39.785107,-86.253067
Veterans Park,"Broomall, PA, USA",39.968761,-75.351059
Cordelia Park,"Charlotte, NC, USA",35.238567,-80.816238
Goodale Park,"Columbus, OH, USA",39.975040,-83.006912
Lake Avenue Playground and Beach,"Seaside Heights, NJ, USA",39.936165,-74.079407
Scioto Audubon Metro Park,"Columbus, OH, USA",39.946140,-83.005859
Roosevelt Park,"Newton, KS, USA",38.049065,-97.333076
Denny Blaine Park,"Seattle, WA, USA",47.620232,-122.280396
Louis J. Jenn Memorial Park,"Indianapolis, IN, USA",39.876183,-85.979271
Lee Road Park,"Indianapolis, IN, USA",39.868210,-85.997719
Harrison Community Park,"Indianapolis, IN, USA",39.853878,-86.004181
Explorer Park,"Lawrence, IN, USA",39.848373,-86.035591
Alexander Park,"Lawrence, IN, USA",39.845444,-86.015747
Lt. Jr. Grade Graham Edward Martin Park,"Indianapolis, USA",39.786484,-86.174042
Paul Ruster Park,"Indianapolis, IN, USA",39.759373,-85.963799
Oscar Charleston Park,"Indianapolis, IN, USA",39.810253,-86.116142
Juan Solomon Park,"Indianapolis, IN, USA",39.867527,-86.187675
Perry Park,"Indianapolis, IN, USA",39.650543,-86.154648
Little Sugar Creek Greenway,"Charlotte, NC, USA",35.217571,-80.833000
Meadowood Park,"Speedway, IN, USA",39.804939,-86.262741
Krannert Park,"Indianapolis, IN, USA",39.757313,-86.267448
Northwestway Park,"Indianapolis, IN, USA",39.866463,-86.250793
Alki Beach Park,"Seattle, WA, USA",47.579098,-122.411263
Park Road Park,"Charlotte, NC, USA",35.150837,-80.851662
William Blair Jr. Park,"Dallas, TX, USA",32.740562,-96.745956
The Great Trinity Forest,"Dallas, TX, USA",32.695732,-96.719170
Rev Mozel Sanders Park,"Indianapolis, IN, USA",39.787155,-86.197762
Reverchon Park,"Dallas, TX, USA",32.800884,-96.815849
Chadwick Arboretum,"Columbus, OH, USA",40.002731,-83.028114
Lake People Park (Xacua'bs),"Seattle, WA, USA",47.569180,-122.291954
Trammell Crow Park,"Dallas, TX, USA",32.789680,-96.835114
Lake Cliff Park,"Dallas, TX, USA",32.756466,-96.819313
Turtle Creek Park,"Dallas, TX, USA",32.809189,-96.801971
Klyde Warren Park,"Dallas, TX, USA",32.789364,-96.801781
Schiller Park,"Columbus, OH, USA",39.941738,-82.992172
Eleanor Tinsley Park,"Houston, TX, USA",29.761671,-95.378052
San Antonio River Walk,"Charlotte, NC, USA",29.422743,-98.489265
South Dallas/Fair Park,"Dallas, TX, USA",32.779324,-96.744049
Grand View Park,"San Francisco, CA, USA",37.756264,-122.471848
Beer Sheva Park,"Seattle, WA, USA",47.524395,-122.263405
Mission Dolores Park,"San Francisco, CA, USA",37.759773,-122.427063
Corona Heights Park,"San Francisco, CA, USA",37.765488,-122.438812
Glen Canyon Park,"San Francisco, CA, USA",37.741558,-122.443184
Duboce Park Dog Play Area,"San Francisco, CA, USA",37.769562,-122.432487
Buena Vista Park,"San Francisco, CA, USA",37.768204,-122.441772
Bernal Heights Park,"San Francisco, CA, USA",37.743465,-122.413132
Balboa Park,"San Francisco, CA, USA",37.725353,-122.445496
Angel Island State Park,"Tiburon, CA, USA",37.867130,-122.430779
San Francisco Maritime National Historical Park,"San Francisco, CA, USA",37.807743,-122.424149
Austin Bluffs,"Colorado Springs, CO, USA",38.901104,-104.799973
Monument Valley Park,"Colorado Springs, CO, USA",38.848572,-104.829117
Tropical Park,"Miami, FL, USA",25.731859,-80.324898
Museum Park,"Miami, FL, USA",25.784231,-80.187248
Memorial Park,"Colorado Springs, CO, USA",38.830093,-104.799355
Mississippi National River and Recreation Area,"St.Paul, MN, USA",44.926041,-93.118187
Northeast Park,"Gibsonville, NC, USA",36.168823,-79.606689
Alvin Larkins Park,"Seattle, WA, USA",47.614506,-122.288727
South Park,"San Francisco, USA",37.781372,-122.394241
Mountain Lake Park,"Funston Ave, San Francisco, CA, USA",37.787750,-122.468773
John McLaren Park,"San Francisco, CA, USA",37.719311,-122.419373
USS San Francisco Memorial,"San Francisco, CA, USA",37.783085,-122.511177
Palmer Park,"Colorado Springs, CO, USA",38.877232,-104.774529
Denny Park,"Seattle, WA, USA",47.619053,-122.340935
Garden Of The Gods,"Colorado Springs, CO, USA",38.878445,-104.869789
Washington Park,"Chicago, IL, USA",41.794552,-87.614731
Millennium Park,"Chicago, IL, USA",41.882702,-87.619392
Marquette Park,"Chicago, IL, USA",41.765652,-87.699074
Lincoln Park,"Chicago, IL, USA",41.925709,-87.633636
Jackson Park,"Chicago, IL, USA",41.786259,-87.585022
Humboldt Park,"Chicago, IL, USA",41.902840,-87.707062
Grant Park,"Chicago, IL, USA",41.876438,-87.618896
Garfield Park,"Chicago, IL, USA",41.881310,-87.714775
Douglas Park,"Chicago, IL, USA",41.859375,-87.695091
Columbus Park,"Chicago, IL, USA",41.874428,-87.768394
Calumet Park,"Chicago, IL, USA",41.717983,-87.528458
East Montlake Park,"Seattle, WA, USA",47.645924,-122.300499
Burnham Park,"Chicago, IL, USA",41.835289,-87.607407
Hermon Park (Arroyo Seco Park),"LA, CA, USA",34.104256,-118.184929
MacArthur Park,"Los Angeles, CA, USA",34.059761,-118.276802
Coldwater Canyon Park,"Beverly Hills, CA, USA",34.090252,-118.411781
Carkeek Park,"Seattle, WA, USA",47.711624,-122.372169
Polliwog Park,"Manhattan Beach, CA, USA",33.888035,-118.385345
Rustic Canyon Park,"Pacific Palisades, CA, USA",34.044598,-118.503288
Olympic National Park,"Port Angeles, WA, USA",47.802109,-123.604355
Lake Hollywood Park,"LA, CA, USA",34.125614,-118.334351
